Horizontal,Vertical,Minimum Longitude,Maximum Longitude,Minimum Latitude,Maximum Latitude
14,0,-180,-172.7151,80,80.4083
15,0,-180,-115.1274,80,83.625
16,0,-180,-57.5397,80,86.8167
17,0,-180,57.2957,80,90
18,0,-0.004,180,80,90
19,0,57.5877,180,80,86.8167
20,0,115.1754,180,80,83.625
21,0,172.7631,180,80,80.4083
11,1,-180,-175.4039,70,70.5333
12,1,-180,-146.1659,70,73.875
13,1,-180,-116.9278,70,77.1667
14,1,-180,-87.6898,70,80
15,1,-172.7631,-58.4517,70,80
16,1,-115.1754,-29.2137,70,80
17,1,-57.5877,0.048,70,80
18,1,0,57.6357,70,80
19,1,29.238,115.2234,70,80
20,1,58.4761,172.8111,70,80
21,1,87.7141,180,70,80
22,1,116.9522,180,70,77.1583
23,1,146.1902,180,70,73.875
24,1,175.4283,180,70,70.5333
9,2,-180,-159.9833,60,63.6167
10,2,-180,-139.9833,60,67.1167
11,2,-180,-119.9833,60,70
12,2,-175.4283,-99.9833,60,70
13,2,-146.1902,-79.9833,60,70
14,2,-116.9522,-59.9833,60,70
15,2,-87.7141,-39.9833,60,70
16,2,-58.4761,-19.9833,60,70
17,2,-29.238,0.0244,60,70
18,2,0,29.2624,60,70
19,2,20,58.5005,60,70
20,2,40,87.7385,60,70
21,2,60,116.9765,60,70
22,2,80,146.2146,60,70
23,2,100,175.4526,60,70
24,2,120,180,60,70
25,2,140,180,60,67.1167
26,2,160,180,60,63.6167
6,3,-180,-171.1167,50,52.3333
7,3,-180,-155.5594,50,56.2583
8,3,-180,-140.0022,50,60
9,3,-180,-124.4449,50,60
10,3,-160,-108.8877,50,60
11,3,-140,-93.3305,50,60
12,3,-120,-77.7732,50,60
13,3,-100,-62.216,50,60
14,3,-80,-46.6588,50,60
15,3,-60,-31.1015,50,60
16,3,-40,-15.5443,50,60
17,3,-20,0.0167,50,60
18,3,0,20.0167,50,60
19,3,15.5572,40.0167,50,60
20,3,31.1145,60.0167,50,60
21,3,46.6717,80.0167,50,60
22,3,62.229,100.0167,50,60
23,3,77.7862,120.0167,50,60
24,3,93.3434,140.0167,50,60
25,3,108.9007,160.0167,50,60
26,3,124.4579,180,50,60
27,3,140.0151,180,50,60
28,3,155.5724,180,50,56.25
29,3,171.1296,180,50,52.3333
4,4,-180,-169.6921,40,43.7667
5,4,-180,-156.638,40,48.1917
6,4,-180,-143.5839,40,50
7,4,-171.1296,-130.5299,40,50
8,4,-155.5724,-117.4758,40,50
9,4,-140.0151,-104.4217,40,50
10,4,-124.4579,-91.3676,40,50
11,4,-108.9007,-78.3136,40,50
12,4,-93.3434,-65.2595,40,50
13,4,-77.7862,-52.2054,40,50
14,4,-62.229,-39.1513,40,50
15,4,-46.6717,-26.0973,40,50
16,4,-31.1145,-13.0432,40,50
17,4,-15.5572,0.013,40,50
18,4,0,15.5702,40,50
19,4,13.0541,31.1274,40,50
20,4,26.1081,46.6847,40,50
21,4,39.1622,62.2419,40,50
22,4,52.2163,77.7992,40,50
23,4,65.2704,93.3564,40,50
24,4,78.3244,108.9136,40,50
25,4,91.3785,124.4709,40,50
26,4,104.4326,140.0281,40,50
27,4,117.4867,155.5853,40,50
28,4,130.5407,171.1426,40,50
29,4,143.5948,180,40,50
30,4,156.6489,180,40,48.1917
31,4,169.7029,180,40,43.7583
2,5,-180,-173.1955,30,33.5583
3,5,-180,-161.6485,30,38.95
4,5,-180,-150.1014,30,40
5,5,-169.7029,-138.5544,30,40
6,5,-156.6489,-127.0074,30,40
7,5,-143.5948,-115.4604,30,40
8,5,-130.5407,-103.9134,30,40
9,5,-117.4867,-92.3664,30,40
10,5,-104.4326,-80.8194,30,40
11,5,-91.3785,-69.2724,30,40
12,5,-78.3244,-57.7254,30,40
13,5,-65.2704,-46.1784,30,40
14,5,-52.2163,-34.6314,30,40
15,5,-39.1622,-23.0844,30,40
16,5,-26.1081,-11.5374,30,40
17,5,-13.0541,0.0109,30,40
18,5,0,13.065,30,40
19,5,11.547,26.119,30,40
20,5,23.094,39.1731,30,40
21,5,34.641,52.2272,30,40
22,5,46.188,65.2812,30,40
23,5,57.735,78.3353,30,40
24,5,69.282,91.3894,30,40
25,5,80.829,104.4435,30,40
26,5,92.376,117.4975,30,40
27,5,103.923,130.5516,30,40
28,5,115.4701,143.6057,30,40
29,5,127.0171,156.6598,30,40
30,5,138.5641,169.7138,30,40
31,5,150.1111,180,30,40
32,5,161.6581,180,30,38.9417
33,5,173.2051,180,30,33.5583
1,6,-180,-170.2596,20,27.2667
2,6,-180,-159.6178,20,30
3,6,-173.2051,-148.976,20,30
4,6,-161.6581,-138.3342,20,30
5,6,-150.1111,-127.6925,20,30
6,6,-138.5641,-117.0507,20,30
7,6,-127.0171,-106.4089,20,30
8,6,-115.4701,-95.7671,20,30
9,6,-103.923,-85.1254,20,30
10,6,-92.376,-74.4836,20,30
11,6,-80.829,-63.8418,20,30
12,6,-69.282,-53.2,20,30
13,6,-57.735,-42.5582,20,30
14,6,-46.188,-31.9165,20,30
15,6,-34.641,-21.2747,20,30
16,6,-23.094,-10.6329,20,30
17,6,-11.547,0.0096,20,30
18,6,0,11.5566,20,30
19,6,10.6418,23.1036,20,30
20,6,21.2836,34.6506,20,30
21,6,31.9253,46.1976,20,30
22,6,42.5671,57.7446,20,30
23,6,53.2089,69.2917,20,30
24,6,63.8507,80.8387,20,30
25,6,74.4924,92.3857,20,30
26,6,85.1342,103.9327,20,30
27,6,95.776,115.4797,20,30
28,6,106.4178,127.0267,20,30
29,6,117.0596,138.5737,20,30
30,6,127.7013,150.1207,20,30
31,6,138.3431,161.6677,20,30
32,6,148.9849,173.2147,20,30
33,6,159.6267,180,20,30
34,6,170.2684,180,20,27.2667
0,7,-180,-172.6141,10,19.1917
1,7,-180,-162.4598,10,20
2,7,-170.2684,-152.3055,10,20
3,7,-159.6267,-142.1513,10,20
4,7,-148.9849,-131.997,10,20
5,7,-138.3431,-121.8427,10,20
6,7,-127.7013,-111.6885,10,20
7,7,-117.0596,-101.5342,10,20
8,7,-106.4178,-91.3799,10,20
9,7,-95.776,-81.2257,10,20
10,7,-85.1342,-71.0714,10,20
11,7,-74.4924,-60.9171,10,20
12,7,-63.8507,-50.7629,10,20
13,7,-53.2089,-40.6086,10,20
14,7,-42.5671,-30.4543,10,20
15,7,-31.9253,-20.3001,10,20
16,7,-21.2836,-10.1458,10,20
17,7,-10.6418,0.0089,10,20
18,7,0,10.6506,10,20
19,7,10.1543,21.2924,10,20
20,7,20.3085,31.9342,10,20
21,7,30.4628,42.576,10,20
22,7,40.6171,53.2178,10,20
23,7,50.7713,63.8595,10,20
24,7,60.9256,74.5013,10,20
25,7,71.0799,85.1431,10,20
26,7,81.2341,95.7849,10,20
27,7,91.3884,106.4266,10,20
28,7,101.5427,117.0684,10,20
29,7,111.6969,127.7102,10,20
30,7,121.8512,138.352,10,20
31,7,132.0055,148.9938,10,20
32,7,142.1597,159.6355,10,20
33,7,152.314,170.2773,10,20
34,7,162.4683,180,10,20
35,7,172.6225,180,10,19.1833
0,8,-180,-169.9917,0,10
1,8,-172.6225,-159.9917,0,10
2,8,-162.4683,-149.9917,0,10
3,8,-152.314,-139.9917,0,10
4,8,-142.1597,-129.9917,0,10
5,8,-132.0055,-119.9917,0,10
6,8,-121.8512,-109.9917,0,10
7,8,-111.6969,-99.9917,0,10
8,8,-101.5427,-89.9917,0,10
9,8,-91.3884,-79.9917,0,10
10,8,-81.2341,-69.9917,0,10
11,8,-71.0799,-59.9917,0,10
12,8,-60.9256,-49.9917,0,10
13,8,-50.7713,-39.9917,0,10
14,8,-40.6171,-29.9917,0,10
15,8,-30.4628,-19.9917,0,10
16,8,-20.3085,-9.9917,0,10
17,8,-10.1543,0.0085,0,10
18,8,0,10.1627,0,10
19,8,10,20.317,0,10
20,8,20,30.4713,0,10
21,8,30,40.6255,0,10
22,8,40,50.7798,0,10
23,8,50,60.9341,0,10
24,8,60,71.0883,0,10
25,8,70,81.2426,0,10
26,8,80,91.3969,0,10
27,8,90,101.5511,0,10
28,8,100,111.7054,0,10
29,8,110,121.8597,0,10
30,8,120,132.0139,0,10
31,8,130,142.1682,0,10
32,8,140,152.3225,0,10
33,8,150,162.4767,0,10
34,8,160,172.631,0,10
35,8,170,180,0,10
0,9,-180,-169.9917,-10,0
1,9,-172.6225,-159.9917,-10,0
2,9,-162.4683,-149.9917,-10,0
3,9,-152.314,-139.9917,-10,0
4,9,-142.1597,-129.9917,-10,0
5,9,-132.0055,-119.9917,-10,0
6,9,-121.8512,-109.9917,-10,0
7,9,-111.6969,-99.9917,-10,0
8,9,-101.5427,-89.9917,-10,0
9,9,-91.3884,-79.9917,-10,0
10,9,-81.2341,-69.9917,-10,0
11,9,-71.0799,-59.9917,-10,0
12,9,-60.9256,-49.9917,-10,0
13,9,-50.7713,-39.9917,-10,0
14,9,-40.6171,-29.9917,-10,0
15,9,-30.4628,-19.9917,-10,0
16,9,-20.3085,-9.9917,-10,0
17,9,-10.1543,0.0085,-10,0
18,9,0,10.1627,-10,0
19,9,10,20.317,-10,0
20,9,20,30.4713,-10,0
21,9,30,40.6255,-10,0
22,9,40,50.7798,-10,0
23,9,50,60.9341,-10,0
24,9,60,71.0883,-10,0
25,9,70,81.2426,-10,0
26,9,80,91.3969,-10,0
27,9,90,101.5511,-10,0
28,9,100,111.7054,-10,0
29,9,110,121.8597,-10,0
30,9,120,132.0139,-10,0
31,9,130,142.1682,-10,0
32,9,140,152.3225,-10,0
33,9,150,162.4767,-10,0
34,9,160,172.631,-10,0
35,9,170,180,-10,0
0,10,-180,-172.6141,-19.1917,-10
1,10,-180,-162.4598,-20,-10
2,10,-170.2684,-152.3055,-20,-10
3,10,-159.6267,-142.1513,-20,-10
4,10,-148.9849,-131.997,-20,-10
5,10,-138.3431,-121.8427,-20,-10
6,10,-127.7013,-111.6885,-20,-10
7,10,-117.0596,-101.5342,-20,-10
8,10,-106.4178,-91.3799,-20,-10
9,10,-95.776,-81.2257,-20,-10
10,10,-85.1342,-71.0714,-20,-10
11,10,-74.4924,-60.9171,-20,-10
12,10,-63.8507,-50.7629,-20,-10
13,10,-53.2089,-40.6086,-20,-10
14,10,-42.5671,-30.4543,-20,-10
15,10,-31.9253,-20.3001,-20,-10
16,10,-21.2836,-10.1458,-20,-10
17,10,-10.6418,0.0089,-20,-10
18,10,0,10.6506,-20,-10
19,10,10.1543,21.2924,-20,-10
20,10,20.3085,31.9342,-20,-10
21,10,30.4628,42.576,-20,-10
22,10,40.6171,53.2178,-20,-10
23,10,50.7713,63.8595,-20,-10
24,10,60.9256,74.5013,-20,-10
25,10,71.0799,85.1431,-20,-10
26,10,81.2341,95.7849,-20,-10
27,10,91.3884,106.4266,-20,-10
28,10,101.5427,117.0684,-20,-10
29,10,111.6969,127.7102,-20,-10
30,10,121.8512,138.352,-20,-10
31,10,132.0055,148.9938,-20,-10
32,10,142.1597,159.6355,-20,-10
33,10,152.314,170.2773,-20,-10
34,10,162.4683,180,-20,-10
35,10,172.6225,180,-19.1833,-10
1,11,-180,-170.2596,-27.2667,-20
2,11,-180,-159.6178,-30,-20
3,11,-173.2051,-148.976,-30,-20
4,11,-161.6581,-138.3342,-30,-20
5,11,-150.1111,-127.6925,-30,-20
6,11,-138.5641,-117.0507,-30,-20
7,11,-127.0171,-106.4089,-30,-20
8,11,-115.4701,-95.7671,-30,-20
9,11,-103.923,-85.1254,-30,-20
10,11,-92.376,-74.4836,-30,-20
11,11,-80.829,-63.8418,-30,-20
12,11,-69.282,-53.2,-30,-20
13,11,-57.735,-42.5582,-30,-20
14,11,-46.188,-31.9165,-30,-20
15,11,-34.641,-21.2747,-30,-20
16,11,-23.094,-10.6329,-30,-20
17,11,-11.547,0.0096,-30,-20
18,11,0,11.5566,-30,-20
19,11,10.6418,23.1036,-30,-20
20,11,21.2836,34.6506,-30,-20
21,11,31.9253,46.1976,-30,-20
22,11,42.5671,57.7446,-30,-20
23,11,53.2089,69.2917,-30,-20
24,11,63.8507,80.8387,-30,-20
25,11,74.4924,92.3857,-30,-20
26,11,85.1342,103.9327,-30,-20
27,11,95.776,115.4797,-30,-20
28,11,106.4178,127.0267,-30,-20
29,11,117.0596,138.5737,-30,-20
30,11,127.7013,150.1207,-30,-20
31,11,138.3431,161.6677,-30,-20
32,11,148.9849,173.2147,-30,-20
33,11,159.6267,180,-30,-20
34,11,170.2684,180,-27.2667,-20
2,12,-180,-173.1955,-33.5583,-30
3,12,-180,-161.6485,-38.95,-30
4,12,-180,-150.1014,-40,-30
5,12,-169.7029,-138.5544,-40,-30
6,12,-156.6489,-127.0074,-40,-30
7,12,-143.5948,-115.4604,-40,-30
8,12,-130.5407,-103.9134,-40,-30
9,12,-117.4867,-92.3664,-40,-30
10,12,-104.4326,-80.8194,-40,-30
11,12,-91.3785,-69.2724,-40,-30
12,12,-78.3244,-57.7254,-40,-30
13,12,-65.2704,-46.1784,-40,-30
14,12,-52.2163,-34.6314,-40,-30
15,12,-39.1622,-23.0844,-40,-30
16,12,-26.1081,-11.5374,-40,-30
17,12,-13.0541,0.0109,-40,-30
18,12,0,13.065,-40,-30
19,12,11.547,26.119,-40,-30
20,12,23.094,39.1731,-40,-30
21,12,34.641,52.2272,-40,-30
22,12,46.188,65.2812,-40,-30
23,12,57.735,78.3353,-40,-30
24,12,69.282,91.3894,-40,-30
25,12,80.829,104.4435,-40,-30
26,12,92.376,117.4975,-40,-30
27,12,103.923,130.5516,-40,-30
28,12,115.4701,143.6057,-40,-30
29,12,127.0171,156.6598,-40,-30
30,12,138.5641,169.7138,-40,-30
31,12,150.1111,180,-40,-30
32,12,161.6581,180,-38.9417,-30
33,12,173.2051,180,-33.5583,-30
34,12,-999,-999,-99,-99
35,12,-999,-999,-99,-99
0,13,-999,-999,-99,-99
1,13,-999,-999,-99,-99
2,13,-999,-999,-99,-99
3,13,-999,-999,-99,-99
4,13,-180,-169.6921,-43.7667,-40
5,13,-180,-156.638,-48.1917,-40
6,13,-180,-143.5839,-50,-40
7,13,-171.1296,-130.5299,-50,-40
8,13,-155.5724,-117.4758,-50,-40
9,13,-140.0151,-104.4217,-50,-40
10,13,-124.4579,-91.3676,-50,-40
11,13,-108.9007,-78.3136,-50,-40
12,13,-93.3434,-65.2595,-50,-40
13,13,-77.7862,-52.2054,-50,-40
14,13,-62.229,-39.1513,-50,-40
15,13,-46.6717,-26.0973,-50,-40
16,13,-31.1145,-13.0432,-50,-40
17,13,-15.5572,0.013,-50,-40
18,13,0,15.5702,-50,-40
19,13,13.0541,31.1274,-50,-40
20,13,26.1081,46.6847,-50,-40
21,13,39.1622,62.2419,-50,-40
22,13,52.2163,77.7992,-50,-40
23,13,65.2704,93.3564,-50,-40
24,13,78.3244,108.9136,-50,-40
25,13,91.3785,124.4709,-50,-40
26,13,104.4326,140.0281,-50,-40
27,13,117.4867,155.5853,-50,-40
28,13,130.5407,171.1426,-50,-40
29,13,143.5948,180,-50,-40
30,13,156.6489,180,-48.1917,-40
31,13,169.7029,180,-43.7583,-40
6,14,-180,-171.1167,-52.3333,-50
7,14,-180,-155.5594,-56.2583,-50
8,14,-180,-140.0022,-60,-50
9,14,-180,-124.4449,-60,-50
10,14,-160,-108.8877,-60,-50
11,14,-140,-93.3305,-60,-50
12,14,-120,-77.7732,-60,-50
13,14,-100,-62.216,-60,-50
14,14,-80,-46.6588,-60,-50
15,14,-60,-31.1015,-60,-50
16,14,-40,-15.5443,-60,-50
17,14,-20,0.0167,-60,-50
18,14,0,20.0167,-60,-50
19,14,15.5572,40.0167,-60,-50
20,14,31.1145,60.0167,-60,-50
21,14,46.6717,80.0167,-60,-50
22,14,62.229,100.0167,-60,-50
23,14,77.7862,120.0167,-60,-50
24,14,93.3434,140.0167,-60,-50
25,14,108.9007,160.0167,-60,-50
26,14,124.4579,180,-60,-50
27,14,140.0151,180,-60,-50
28,14,155.5724,180,-56.25,-50
29,14,171.1296,180,-52.3333,-50
9,15,-180,-159.9833,-63.6167,-60
10,15,-180,-139.9833,-67.1167,-60
11,15,-180,-119.9833,-70,-60
12,15,-175.4283,-99.9833,-70,-60
13,15,-146.1902,-79.9833,-70,-60
14,15,-116.9522,-59.9833,-70,-60
15,15,-87.7141,-39.9833,-70,-60
16,15,-58.4761,-19.9833,-70,-60
17,15,-29.238,0.0244,-70,-60
18,15,0,29.2624,-70,-60
19,15,20,58.5005,-70,-60
20,15,40,87.7385,-70,-60
21,15,60,116.9765,-70,-60
22,15,80,146.2146,-70,-60
23,15,100,175.4526,-70,-60
24,15,120,180,-70,-60
25,15,140,180,-67.1167,-60
26,15,160,180,-63.6167,-60
11,16,-180,-175.4039,-70.5333,-70
12,16,-180,-146.1659,-73.875,-70
13,16,-180,-116.9278,-77.1667,-70
14,16,-180,-87.6898,-80,-70
15,16,-172.7631,-58.4517,-80,-70
16,16,-115.1754,-29.2137,-80,-70
17,16,-57.5877,0.048,-80,-70
18,16,0,57.6357,-80,-70
19,16,29.238,115.2234,-80,-70
20,16,58.4761,172.8111,-80,-70
21,16,87.7141,180,-80,-70
22,16,116.9522,180,-77.1583,-70
23,16,146.1902,180,-73.875,-70
24,16,175.4283,180,-70.5333,-70
14,17,-180,-172.7151,-80.4083,-80
15,17,-180,-115.1274,-83.625,-80
16,17,-180,-57.5397,-86.8167,-80
17,17,-180,57.2957,-90,-80
18,17,-0.004,180,-90,-80
19,17,57.5877,180,-86.8167,-80
20,17,115.1754,180,-83.625,-80
21,17,172.7631,180,-80.4083,-80
